County,State,Population_2018,Population_Density_Per_Square_Mile,Unemployment_rate_2018,Median_Household_Income_2018,Total_Male,Total_Female,Total_age0to17,Male_age0to17,Female_age0to17,Total_age18to64,Male_age18to64,Female_age18to64,Total_age65plus,Male_age65plus,Female_age65plus,Total_age85plusr,Male_age85plusr,Female_age85plusr,ICU_Beds,Aggregate_Transit_Score,cases,deaths
Mackinac,MI,10787,10.9,9.7,46645,5508,5279,1698,863,835,6064,3152,2912,3025,1493,1532,322,114,208,0,0,310,0
Macomb,MI,874759,1754.9,4,62191,425844,448915,184009,94099,89910,542114,267480,274634,148636,64265,84371,19778,6614,13164,122,3391426939,307543,32173
Manistee,MI,24528,45.6,5.7,47401,12682,11846,4264,2091,2173,13946,7549,6397,6318,3042,3276,722,281,441,0,0,619,0
Marquette,MI,66516,37.1,4.9,54093,33344,33172,12044,6102,5942,41753,21114,20639,12719,6128,6591,1653,647,1006,30,197718694,2432,425
Mason,MI,29100,58,4.9,51083,14447,14653,5889,3045,2844,16357,8200,8157,6854,3202,3652,792,282,510,6,0,831,0
Mecosta,MI,43545,77.1,5,45804,21849,21696,7993,4074,3919,27577,14059,13518,7975,3716,4259,778,272,506,4,412609192,866,95
Menominee,MI,22983,23,4,46486,11696,11287,4181,2204,1977,13150,6797,6353,5652,2695,2957,772,296,476,0,0,259,0
Midland,MI,83209,162,4,58057,41035,42174,17679,9039,8640,50254,25248,25006,15276,6748,8528,2182,790,1392,26,491654076,3399,291
Missaukee,MI,15113,26.3,5,48413,7682,7431,3474,1796,1678,8540,4388,4152,3099,1498,1601,329,125,204,0,0,670,66
Monroe,MI,150439,276.7,4.2,62522,74251,76188,32193,16321,15872,90984,45598,45386,27262,12332,14930,3290,1072,2218,0,1536308653,18925,732
Montcalm,MI,63968,89.8,4.2,50396,33093,30875,14221,7260,6961,38552,20629,17923,11195,5204,5991,1226,444,782,12,0,2419,55
Montmorency,MI,9265,17.9,8.6,40650,4722,4543,1390,739,651,4883,2458,2425,2992,1525,1467,308,120,188,0,0,226,0
Muskegon,MI,173588,344.9,4.5,49960,86240,87348,40082,20324,19758,103982,52714,51268,29524,13202,16322,3514,1218,2296,37,1945107665,18130,982
Newaygo,MI,48892,59.6,4.3,48860,24542,24350,11024,5586,5438,28511,14426,14085,9357,4530,4827,972,361,611,9,0,1997,0
Oakland,MI,1259201,1385.7,3.3,80319,617094,642107,264031,135024,129007,783643,389445,394198,211527,92625,118902,27550,9330,18220,409,2742193015,411446,39522
Oceana,MI,26625,51.9,6.1,50374,13491,13134,6080,3127,2953,15066,7719,7347,5479,2645,2834,550,223,327,0,0,1688,74
Ogemaw,MI,20952,38.5,7,41201,10439,10513,3880,1983,1897,11658,5839,5819,5414,2617,2797,570,210,360,10,0,712,4
Ontonagon,MI,5795,5.2,7.8,40798,2943,2852,736,372,364,2962,1497,1465,2097,1074,1023,191,67,124,0,0,,
Osceola,MI,23341,41.5,4.4,45607,11772,11569,5209,2735,2474,13185,6678,6507,4947,2359,2588,484,175,309,4,0,464,0
Oscoda,MI,8276,15.3,6.4,38927,4242,4034,1610,865,745,4414,2220,2194,2252,1157,1095,213,83,130,0,0,262,24
Otsego,MI,24665,46.9,5.2,51292,12228,12437,5209,2660,2549,14243,7122,7121,5213,2446,2767,596,226,370,4,0,4681,407
Ottawa,MI,290494,468.2,2.8,70420,143564,146930,69797,35800,33997,177205,88018,89187,43492,19746,23746,5575,2000,3575,22,2023408409,19350,815
Presque Isle,MI,12738,20.3,8,45502,6334,6404,2040,1008,1032,6697,3331,3366,4001,1995,2006,522,225,297,0,0,462,0
Roscommon,MI,23884,47.1,7.8,38613,11957,11927,3514,1819,1695,12597,6239,6358,7773,3899,3874,689,298,391,0,0,894,0
Saginaw,MI,190800,250.2,4.8,48805,92674,98126,40727,20831,19896,113290,55775,57515,36783,16068,20715,4978,1708,3270,133,3399116904,37811,3502
St. Clair,MI,159337,226.1,4.7,56557,79205,80132,33131,17095,16036,96184,48348,47836,30022,13762,16260,3489,1248,2241,23,2887832266,18586,1197
St. Joseph,MI,61043,122.4,3.7,52689,30446,30597,14907,7638,7269,35153,17824,17329,10983,4984,5999,1330,465,865,8,0,3075,61
Sanilac,MI,41182,44.8,5.1,46184,20546,20636,8815,4496,4319,23548,11890,11658,8819,4160,4659,952,394,558,0,0,1965,232
Schoolcraft,MI,8068,7.2,7.1,44887,3980,4088,1370,697,673,4536,2244,2292,2162,1039,1123,259,93,166,0,0,179,0
Shiawassee,MI,68192,133.1,4.3,54149,33706,34486,14424,7387,7037,41245,20658,20587,12523,5661,6862,1382,484,898,7,129085106,9223,681
Tuscola,MI,52516,69.4,5.5,51113,26385,26131,10732,5649,5083,31149,15814,15335,10635,4922,5713,1136,409,727,0,0,6489,836
Van Buren,MI,75448,125.5,4.8,57363,37451,37997,17518,8946,8572,44263,22108,22155,13667,6397,7270,1497,566,931,0,80279374,3992,185
Washtenaw,MI,370963,488.4,3,72267,184083,186880,68932,35208,33724,250654,125796,124858,51377,23079,28298,6013,2129,3884,92,664850014,62759,3565
Wayne,MI,1753893,2974.4,5.2,46440,844609,909284,414221,211305,202916,1069118,518712,550406,270554,114592,155962,36445,12148,24297,586,4833192745,961043,96280
Wexford,MI,33466,57.9,4.7,46396,16766,16700,7761,3930,3831,19317,9762,9555,6388,3074,3314,776,301,475,6,0,541,90
Aitkin,MN,15902,8.9,5.6,44016,8034,7868,2658,1383,1275,7993,4025,3968,5251,2626,2625,535,222,313,4,0,125,0
Anoka,MN,353813,782.1,2.8,82284,176976,176837,84396,43029,41367,219705,111330,108375,49712,22617,27095,5100,1917,3183,35,2318721414,27562,1296
Becker,MN,34371,24.7,3.6,59440,17140,17231,8391,4234,4157,18928,9542,9386,7052,3364,3688,812,308,504,8,1037365727,884,0
Beltrami,MN,46847,17.7,4.1,47073,23406,23441,11769,6112,5657,27530,13779,13751,7548,3515,4033,1038,401,637,10,0,449,0
Benton,MN,40545,94.2,3.5,61341,20233,20312,10255,5219,5036,24581,12471,12110,5709,2543,3166,1005,324,681,0,3023331412,3690,59
Big Stone,MN,4989,10.6,3.8,51058,2475,2514,1052,550,502,2613,1338,1275,1324,587,737,268,97,171,0,0,126,0
Blue Earth,MN,67427,85.6,2.5,58132,33935,33492,13246,6936,6310,44813,22786,22027,9368,4213,5155,1461,477,984,29,0,3394,10
Brown,MN,25111,42.4,3.4,60626,12509,12602,5494,2909,2585,14374,7217,7157,5243,2383,2860,997,337,660,0,0,522,70
Carlton,MN,35837,41.1,4.1,60412,18690,17147,8042,4118,3924,21659,11743,9916,6136,2829,3307,806,244,562,6,0,2934,0
Carver,MN,103551,256.9,2.5,104248,51395,52156,27701,14127,13574,63407,31646,31761,12443,5622,6821,1562,514,1048,25,881547644,4026,40
Cass,MN,29519,14.1,5.1,48651,15078,14441,6243,3291,2952,15617,7903,7714,7659,3884,3775,740,292,448,0,0,404,44
Chippewa,MN,11924,21.4,3.2,53540,5986,5938,2808,1422,1386,6590,3413,3177,2526,1151,1375,430,149,281,0,0,801,6
Chisago,MN,55922,129.9,3.4,82814,28861,27061,12729,6547,6182,34581,18170,16411,8612,4144,4468,960,345,615,10,5129605,1214,59
Clay,MN,63955,56.4,2.9,65914,31670,32285,15804,8120,7684,39738,19741,19997,8413,3809,4604,1336,458,878,0,445093295,10958,678
Clearwater,MN,8810,8.7,8.1,51475,4504,4306,2185,1143,1042,4843,2485,2358,1782,876,906,237,103,134,0,0,143,0
Cook,MN,5393,3.6,3.5,54465,2698,2695,851,447,404,3002,1492,1510,1540,759,781,163,53,110,0,0,,
Cottonwood,MN,11277,18.3,3.6,51788,5636,5641,2756,1434,1322,5949,3035,2914,2572,1167,1405,454,164,290,0,0,1833,0
Crow Wing,MN,64889,62.6,3.9,53481,32283,32606,14053,7162,6891,36287,18245,18042,14549,6876,7673,1758,645,1113,16,0,1517,36
Dakota,MN,425423,709,2.5,86403,209855,215568,103669,53310,50359,261472,129927,131545,60282,26618,33664,7220,2599,4621,12,3013690286,25319,917
Dodge,MN,20822,45.7,3,75955,10395,10427,5369,2720,2649,12389,6252,6137,3064,1423,1641,414,148,266,0,875447314,1565,0
Douglas,MN,37964,56.5,2.8,60979,18993,18971,8182,4157,4025,21131,10769,10362,8651,4067,4584,1248,464,784,8,0,698,0
Faribault,MN,13758,20.4,3.5,52560,6875,6883,3049,1574,1475,7569,3885,3684,3140,1416,1724,527,172,355,4,0,440,0
Fillmore,MN,21058,24.2,3.1,58761,10563,10495,5191,2714,2477,11458,5830,5628,4409,2019,2390,775,258,517,0,234734134,832,39
Freeborn,MN,30444,44.2,3.2,52010,15158,15286,6677,3460,3217,17025,8668,8357,6742,3030,3712,1065,376,689,18,0,2714,0
Goodhue,MN,46403,61,2.7,67039,23012,23391,10293,5231,5062,26986,13605,13381,9124,4176,4948,1369,477,892,4,552050754,1624,27
Grant,MN,6021,11,4,54917,3023,2998,1364,695,669,3256,1643,1613,1401,685,716,240,95,145,0,0,63,0
Hennepin,MN,1259428,2081.7,2.5,76067,623200,636228,276541,140383,136158,806099,405060,401039,176788,77757,99031,24636,8637,15999,311,5362022282,179640,16036
Houston,MN,18578,34.5,2.9,59613,9328,9250,4035,2115,1920,10551,5329,5222,3992,1884,2108,630,231,399,0,1129688342,82,0
Hubbard,MN,21332,22.1,5,55687,10829,10503,4513,2330,2183,11476,5824,5652,5343,2675,2668,549,244,305,0,0,13,0
Isanti,MN,39966,86.8,3.7,73468,20210,19756,9395,4862,4533,24147,12405,11742,6424,2943,3481,767,270,497,0,0,670,0
Itasca,MN,45108,16.9,5.4,53143,22797,22311,9370,4899,4471,25145,12770,12375,10593,5128,5465,1333,529,804,9,0,1242,119
Jackson,MN,9911,14.6,2.9,57786,5073,4838,2140,1114,1026,5554,2918,2636,2217,1041,1176,411,165,246,0,0,1123,0
Kanabec,MN,16207,31.1,5.5,56950,8159,8048,3490,1734,1756,9393,4821,4572,3324,1604,1720,342,127,215,4,0,249,13
Kandiyohi,MN,42855,53,2.9,60579,21576,21279,10514,5469,5045,24280,12390,11890,8061,3717,4344,1259,427,832,8,0,11564,34
Kittson,MN,4248,4.1,2.9,54438,2138,2110,909,466,443,2303,1192,1111,1036,480,556,167,48,119,0,0,44,0
Koochiching,MN,12440,4.3,6.1,46281,6225,6215,2265,1138,1127,6996,3567,3429,3179,1520,1659,389,143,246,0,0,137,0
Lac qui Parle,MN,6658,9.5,3.6,52445,3347,3311,1342,704,638,3482,1789,1693,1834,854,980,390,139,251,0,0,112,0
Lake,MN,10658,5.2,3.1,61015,5488,5170,2005,1088,917,5878,3010,2868,2775,1390,1385,399,168,231,0,0,25,0
Lake of the Woods,MN,3758,3.1,3.8,52058,1966,1792,715,375,340,2132,1138,994,911,453,458,103,34,69,0,0,,
Le Sueur,MN,28494,61.7,4.1,67269,14369,14125,6808,3499,3309,16699,8519,8180,4987,2351,2636,575,184,391,0,0,1771,20
Lincoln,MN,5673,11,3,51305,2861,2812,1328,690,638,2937,1541,1396,1408,630,778,302,119,183,0,0,185,0
Lyon,MN,25629,36.2,2.9,57690,12789,12840,6615,3456,3159,14954,7524,7430,4060,1809,2251,742,241,501,0,0,912,0
McLeod,MN,35873,74.6,3.1,61959,17925,17948,8254,4226,4028,20903,10670,10233,6716,3029,3687,996,346,650,6,0,601,0
Mahnomen,MN,5519,9.7,4.6,43162,2781,2738,1748,916,832,2820,1424,1396,951,441,510,132,51,81,0,0,159,26
Marshall,MN,9390,5.3,5.8,58105,4738,4652,2158,1066,1092,5216,2737,2479,2016,935,1081,360,133,227,0,0,255,0
Martin,MN,19785,29.3,3.1,50821,9804,9981,4306,2180,2126,10829,5510,5319,4650,2114,2536,897,298,599,0,0,5048,262
Meeker,MN,23141,38.3,3.5,66557,11783,11358,5594,2875,2719,12913,6693,6220,4634,2215,2419,693,266,427,0,0,1039,0
Mille Lacs,MN,26139,45.6,4.8,53289,13139,13000,6292,3252,3040,15060,7678,7382,4787,2209,2578,632,212,420,4,0,344,43
Morrison,MN,33169,29.5,4.7,57471,16745,16424,7761,3995,3766,18921,9721,9200,6487,3029,3458,957,343,614,6,0,767,0
Mower,MN,40011,55.1,2.7,53387,20124,19887,10093,5205,4888,22578,11635,10943,7340,3284,4056,1463,499,964,0,200838154,3912,13
Murray,MN,8276,12.4,3.7,59938,4140,4136,1815,927,888,4350,2186,2164,2111,1027,1084,346,128,218,0,0,1013,0
Nicollet,MN,34220,73,2.2,66209,17295,16925,7585,3851,3734,21077,10841,10236,5558,2603,2955,765,277,488,0,0,1514,144
Nobles,MN,21924,29.9,2.6,55766,11300,10624,6004,3044,2960,12335,6597,5738,3585,1659,1926,680,224,456,0,0,44103,76
Norman,MN,6475,7.9,4.3,48799,3262,3213,1559,806,753,3550,1801,1749,1366,655,711,223,75,148,0,0,406,0
Olmsted,MN,156277,220.8,2.3,76001,76246,80031,38258,19409,18849,93747,46116,47631,24272,10721,13551,3611,1311,2300,218,438626431,18939,380
Otter Tail,MN,58812,29.1,3.6,53778,29588,29224,12881,6634,6247,31939,16290,15649,13992,6664,7328,2050,721,1329,5,0,1347,0
Pennington,MN,14178,22.6,4.2,57494,7032,7146,3225,1595,1630,8361,4314,4047,2592,1123,1469,430,139,291,0,0,169,0
Pine,MN,29483,21.1,4.8,50387,15830,13653,5775,3030,2745,17610,9869,7741,6098,2931,3167,696,278,418,0,0,2858,0
Pipestone,MN,9047,20.6,2.9,55378,4406,4641,2336,1192,1144,4815,2434,2381,1896,780,1116,399,114,285,0,0,285,0
Polk,MN,31529,16,3.7,60180,15828,15701,7629,3893,3736,18234,9376,8858,5666,2559,3107,950,262,688,5,1336819287,1853,41
Pope,MN,11097,16.4,2.6,60975,5665,5432,2305,1228,1077,6082,3150,2932,2710,1287,1423,426,156,270,0,0,155,0
Ramsey,MN,550210,3341.6,2.7,62937,268571,281639,128232,65614,62618,342650,168818,173832,79328,34139,45189,11134,3716,7418,135,6226193938,53358,2447
Red Lake,MN,3999,9.5,5.2,54412,2042,1957,966,504,462,2196,1135,1061,837,403,434,127,46,81,0,0,94,0
Redwood,MN,15249,18.3,3.6,56760,7611,7638,3778,1918,1860,8246,4246,4000,3225,1447,1778,584,177,407,0,0,124,0
Renville,MN,14612,16,3.9,59787,7427,7185,3385,1723,1662,8187,4261,3926,3040,1443,1597,544,186,358,0,0,261,0
Rice,MN,66523,129.4,2.8,67024,33901,32622,14537,7281,7256,41736,21901,19835,10250,4719,5531,1336,462,874,4,0,7075,66
Rock,MN,9414,20.1,2.3,63503,4636,4778,2408,1186,1222,5139,2601,2538,1867,849,1018,333,108,225,0,0,687,0
Roseau,MN,15150,9.3,3.3,60239,7795,7355,3651,1852,1799,8848,4695,4153,2651,1248,1403,383,118,265,0,0,60,0
St. Louis,MN,199754,32,3.7,53833,100283,99471,38011,19557,18454,122995,62823,60172,38748,17903,20845,5338,1798,3540,179,3271418582,4405,557
Scott,MN,147381,364.5,2.5,101427,73440,73941,40458,20539,19919,90888,45572,45316,16035,7329,8706,1768,659,1109,0,1644981978,7823,71
Sherburne,MN,96036,204.4,3.2,81850,49201,46835,25433,12964,12469,59719,31213,28506,10884,5024,5860,1151,370,781,0,616785142,4940,37
Sibley,MN,15028,25.9,3.2,66209,7560,7468,3542,1773,1769,8730,4535,4195,2756,1252,1504,434,142,292,0,0,279,0
Stearns,MN,159256,112.2,2.9,60843,80406,78850,36701,18626,18075,98476,50557,47919,24079,11223,12856,3328,1288,2040,41,3606076163,48213,246
Steele,MN,36803,85.1,2.9,65323,18326,18477,9163,4548,4615,21149,10833,10316,6491,2945,3546,1019,373,646,0,95295637,3194,0
Stevens,MN,9753,17.3,2.4,61929,4850,4903,2050,1071,979,6017,3023,2994,1686,756,930,357,120,237,0,0,5,0
Swift,MN,9345,13.2,3.7,51552,4725,4620,2162,1112,1050,5139,2706,2433,2044,907,1137,372,117,255,0,0,342,0
Todd,MN,24582,26.3,3.9,58113,12672,11910,5852,3096,2756,13436,6965,6471,5294,2611,2683,710,297,413,3,368172867,3432,0
Traverse,MN,3308,6.2,3.2,49773,1659,1649,693,356,337,1783,925,858,832,378,454,186,61,125,0,0,148,0
Wabasha,MN,21645,41.4,2.9,63633,10845,10800,4712,2431,2281,12210,6145,6065,4723,2269,2454,643,251,392,0,747102859,691,0
Wadena,MN,13773,25.8,5.2,46312,6815,6958,3532,1799,1733,7344,3731,3613,2897,1285,1612,496,142,354,2,0,157,0
Waseca,MN,18691,45.2,4.1,58335,9008,9683,4332,2206,2126,10959,5216,5743,3400,1586,1814,519,191,328,0,0,676,0
Washington,MN,259201,619.7,2.5,95840,128076,131125,63678,32303,31375,156617,77985,78632,38906,17788,21118,4580,1667,2913,31,1108094998,13806,728
Watonwan,MN,10980,25.8,3.5,51962,5426,5554,2683,1328,1355,6106,3058,3048,2191,1040,1151,425,170,255,0,0,1289,0
Wilkin,MN,6254,8.8,3,61387,3228,3026,1402,756,646,3652,1904,1748,1200,568,632,177,75,102,0,0,567,139
Winona,MN,50825,82.2,2.6,56076,25133,25692,9158,4584,4574,33036,16540,16496,8631,4009,4622,1189,375,814,8,685302533,3558,688
Wright,MN,136349,188.5,3,87377,68848,67501,38003,19486,18517,81131,41383,39748,17215,7979,9236,1934,726,1208,3,43262141,5711,52
Yellow Medicine,MN,9795,13.8,3,56528,4948,4847,2303,1175,1128,5511,2849,2662,1981,924,1057,397,123,274,0,0,197,0
Adams,MS,31192,69.8,6.2,33392,16249,14943,6259,3139,3120,19059,10627,8432,5874,2483,3391,739,223,516,15,0,7318,521
Alcorn,MS,36925,92.6,4.1,40010,18024,18901,8406,4265,4141,21706,10838,10868,6813,2921,3892,695,228,467,24,0,595,33
Amite,MS,12326,18,6,38092,5967,6359,2526,1266,1260,6904,3388,3516,2896,1313,1583,345,112,233,0,0,1807,35
Attala,MS,18365,26.6,5.7,36761,8698,9667,4621,2227,2394,10223,4912,5311,3521,1559,1962,457,136,321,0,0,8090,244
Benton,MS,8271,21.5,5.6,35184,4100,4171,1793,905,888,4931,2486,2445,1547,709,838,176,59,117,0,0,627,0
Bolivar,MS,31333,39,6.1,33116,14557,16776,7611,3840,3771,18771,8709,10062,4951,2008,2943,502,117,385,8,0,6203,422
Calhoun,MS,14436,25.5,4.3,39176,6942,7494,3376,1750,1626,8328,3999,4329,2732,1193,1539,359,106,253,0,0,2675,162
Carroll,MS,9911,16.9,5.5,42588,5012,4899,1840,913,927,5723,2976,2747,2348,1123,1225,244,94,150,0,0,3558,209
Chickasaw,MS,17171,34.7,5,37429,8439,8732,4263,2171,2092,9950,4987,4963,2958,1281,1677,349,103,246,0,0,4495,421
Choctaw,MS,8278,20.4,4.8,38479,4044,4234,1797,939,858,4696,2336,2360,1785,769,1016,203,72,131,0,0,1067,83
Claiborne,MS,9002,19.7,9.2,29631,4265,4737,1888,967,921,5642,2677,2965,1472,621,851,189,53,136,0,0,1821,20
Clarke,MS,15604,24.2,5.6,41495,7297,8307,3437,1670,1767,8977,4246,4731,3190,1381,1809,342,112,230,0,0,3842,398
Clay,MS,19386,50.3,6,38121,9080,10306,4372,2180,2192,11434,5371,6063,3580,1529,2051,430,129,301,6,0,3097,115
Coahoma,MS,22628,47.3,6.8,29380,10487,12141,6103,3058,3045,13033,5937,7096,3492,1492,2000,400,141,259,10,0,4077,139
Copiah,MS,28543,37.9,5.5,38664,13737,14806,6555,3318,3237,16953,8211,8742,5035,2208,2827,609,195,414,0,322906816,7666,88
Covington,MS,18853,47.3,4.4,36083,9184,9669,4639,2387,2252,11029,5394,5635,3185,1403,1782,366,125,241,0,0,4120,23
DeSoto,MS,182001,338.7,3.8,68126,87795,94206,46709,23800,22909,111824,53715,58109,23468,10280,13188,2122,708,1414,44,4026089,18633,241
Forrest,MS,75036,160.7,4.4,39061,35611,39425,17357,8889,8468,47491,22412,25079,10188,4310,5878,1259,394,865,48,1904845997,15780,920
Franklin,MS,7788,14.4,6,39508,3828,3960,1806,936,870,4429,2182,2247,1553,710,843,172,54,118,0,0,1029,47
George,MS,24250,47.2,6.4,47246,12260,11990,6390,3186,3204,14347,7450,6897,3513,1624,1889,231,94,137,6,0,806,44
Greene,MS,13586,20.2,6.2,42022,7859,5727,2653,1357,1296,8913,5576,3337,2020,926,1094,195,67,128,0,0,297,38
Grenada,MS,21055,51.9,4.3,39633,10015,11040,5040,2561,2479,12271,5860,6411,3744,1594,2150,399,125,274,5,0,2358,62
Hancock,MS,47334,92.7,5,49843,23137,24197,9716,5025,4691,28235,13798,14437,9383,4314,5069,871,335,536,6,0,3878,418
Harrison,MS,206650,326,4.5,45355,101231,105419,49416,25240,24176,126330,62095,64235,30904,13896,17008,3113,1138,1975,57,2092921571,10648,330
Hinds,MS,237085,282,4.6,44776,110637,126448,57047,29102,27945,146697,67766,78931,33341,13769,19572,4007,1196,2811,218,2199693832,32467,678
Holmes,MS,17622,25.4,8.9,26449,8422,9200,4466,2349,2117,10504,4970,5534,2652,1103,1549,334,108,226,0,0,10494,700
Humphreys,MS,8257,22.4,8.4,28542,3886,4371,2147,1091,1056,4708,2216,2492,1402,579,823,145,30,115,0,0,1634,221
Issaquena,MS,1308,3.4,9,26936,774,534,152,79,73,938,598,340,218,97,121,33,14,19,0,0,,
Itawamba,MS,23517,43.9,4.1,45720,11594,11923,5096,2616,2480,14269,7173,7096,4152,1805,2347,481,169,312,0,0,2934,217
Jackson,MS,143277,193.2,5.5,51771,70502,72775,33416,17251,16165,87140,42854,44286,22721,10397,12324,2062,789,1273,48,479636356,14109,506
Jasper,MS,16428,25.2,5.8,36987,7947,8481,3696,1882,1814,9380,4531,4849,3352,1534,1818,338,138,200,0,0,3867,95
Jefferson,MS,7106,14.9,13.3,28024,3489,3617,1607,792,815,4300,2207,2093,1199,490,709,171,54,117,0,0,1228,3
Jefferson Davis,MS,11234,30.6,6.7,31739,5315,5919,2215,1146,1069,6469,3083,3386,2550,1086,1464,312,89,223,0,0,2202,67
Jones,MS,68461,97.5,4.8,42435,33256,35205,17176,8864,8312,39708,19352,20356,11577,5040,6537,1342,456,886,14,372836539,12475,318
Kemper,MS,10027,13.6,7.4,33437,5021,5006,1821,948,873,6181,3179,3002,2025,894,1131,314,94,220,0,0,3875,243
Lafayette,MS,54793,75,3.9,49381,26552,28241,9919,4929,4990,37945,18594,19351,6929,3029,3900,710,204,506,24,0,4932,160
Lamar,MS,62447,112,3.6,58377,30001,32446,15448,7799,7649,38396,18392,20004,8603,3810,4793,903,332,571,17,970262697,7055,157
Lauderdale,MS,75317,114.1,5,40077,36501,38816,17636,8888,8748,44609,22019,22590,13072,5594,7478,1629,502,1127,51,1848287,22912,1734
Lawrence,MS,12455,30,6,40510,6044,6411,3045,1540,1505,7170,3495,3675,2240,1009,1231,202,79,123,0,0,2871,10
Leake,MS,22763,40.8,4.9,37212,11752,11011,5835,3418,2417,13209,6712,6497,3719,1622,2097,456,157,299,0,0,12507,208
Lee,MS,85202,184.3,3.9,51088,40726,44476,21542,10992,10550,51062,24480,26582,12598,5254,7344,1408,404,1004,42,0,4586,240
Leflore,MS,28919,54.5,6.8,29244,13483,15436,7969,4029,3940,16779,7734,9045,4171,1720,2451,565,155,410,9,646351721,8757,926
Lincoln,MS,34205,59.5,4.7,43478,16296,17909,8042,4095,3947,20282,9723,10559,5881,2478,3403,679,221,458,5,7,8733,671
Lowndes,MS,58930,118.3,4.8,44348,28055,30875,13890,7189,6701,35688,16898,18790,9352,3968,5384,1154,331,823,18,0,4628,180
Madison,MS,105630,133.2,3.7,75740,50599,55031,26414,13459,12955,65173,31071,34102,14043,6069,7974,1468,424,1044,7,169970713,19882,592
Marion,MS,24715,49.9,5.1,36408,11946,12769,5718,2861,2857,14406,7116,7290,4591,1969,2622,620,188,432,6,0,3885,282
Marshall,MS,35451,52.6,5,40285,17596,17855,7435,3772,3663,21802,11102,10700,6214,2722,3492,605,192,413,0,0,3008,127
Monroe,MS,35564,48.3,4.9,44681,16944,18620,8054,4029,4025,20679,10015,10664,6831,2900,3931,804,245,559,9,0,8657,811
Montgomery,MS,10023,26.8,5.3,36311,4784,5239,2264,1127,1137,5590,2700,2890,2169,957,1212,279,84,195,0,0,2562,62
Neshoba,MS,29125,52.1,4.9,36236,13866,15259,8105,4075,4030,16412,7755,8657,4608,2036,2572,558,181,377,0,0,14297,688
Newton,MS,21443,37.6,4.9,40792,10259,11184,5407,2693,2714,12451,6038,6413,3585,1528,2057,424,132,292,0,0,6307,61
Noxubee,MS,10535,16.6,6.7,32167,4968,5567,2569,1293,1276,6242,2938,3304,1724,737,987,224,64,160,0,0,4664,103
Oktibbeha,MS,49599,104,4.7,39130,24736,24863,8829,4504,4325,35060,17733,17327,5710,2499,3211,755,263,492,6,0,4666,258
Panola,MS,34178,50.7,5.9,39198,16423,17755,8463,4321,4142,20336,9736,10600,5379,2366,3013,570,208,362,0,0,2433,118
Pearl River,MS,55387,68.9,4.7,45268,27264,28123,12517,6362,6155,32475,16104,16371,10395,4798,5597,974,361,613,6,40522068,9297,1034
Perry,MS,11931,18.9,5.9,39687,5833,6098,2684,1406,1278,7068,3457,3611,2179,970,1209,227,80,147,0,0,1769,86
Pike,MS,39563,98.8,5.7,33983,18653,20910,10244,5111,5133,22486,10631,11855,6833,2911,3922,801,259,542,28,590422547,8035,379
Pontotoc,MS,31833,60.2,3.9,44297,15572,16261,8455,4276,4179,18615,9176,9439,4763,2120,2643,585,201,384,0,0,1259,116
Prentiss,MS,25315,60.9,4.3,41281,12417,12898,5610,2949,2661,15102,7572,7530,4603,1896,2707,590,175,415,11,0,1720,79
Quitman,MS,7051,20.3,7.6,27767,3277,3774,1607,818,789,4220,1962,2258,1224,497,727,143,46,97,0,884260249,986,0
Rankin,MS,153902,182.6,3.4,66296,74073,79829,35671,18065,17606,94692,45911,48781,23539,10097,13442,2568,858,1710,18,20684376,12813,273
Scott,MS,28287,46.4,3.9,38034,13883,14404,7563,4000,3563,16464,8118,8346,4260,1765,2495,488,148,340,0,0,19347,220
